"","BabyID","Date","Time","BottleAmount","PumpingL","PumpingR","BreastfeedingL","BreastFeedingR","DurationSlept","DurationCried"
"64","100739","2015-08-12","19:30:00+02:00",155,NA,NA,NA,NA,NA,NA
"65","100739","2015-08-13","04:31:00+02:00",150,NA,NA,NA,NA,NA,NA
"66","100739","2015-08-14","03:45:00+02:00",150,NA,NA,NA,NA,NA,NA
"67","100739","2015-08-14","07:30:00+02:00",150,NA,NA,NA,NA,NA,NA
"68","100739","2015-08-14","11:30:00+02:00",160,NA,NA,NA,NA,NA,NA
"69","100739","2015-08-14","15:15:00+02:00",155,NA,NA,NA,NA,NA,NA
"70","100739","2015-08-14","19:00:00+02:00",155,NA,NA,NA,NA,NA,NA
"71","100739","2015-08-15","05:00:00+02:00",155,NA,NA,NA,NA,NA,NA
"72","100739","2015-08-15","08:50:00+02:00",150,NA,NA,NA,NA,NA,NA
"73","100739","2015-08-15","12:15:00+02:00",150,NA,NA,NA,NA,NA,NA
"74","100739","2015-08-15","16:00:00+02:00",155,NA,NA,NA,NA,NA,NA
"75","100739","2015-08-15","19:30:00+02:00",145,NA,NA,NA,NA,NA,NA
"76","100739","2015-08-15","23:00:00+02:00",200,NA,NA,NA,NA,NA,NA
"77","100739","2015-08-16","04:50:00+02:00",150,NA,NA,NA,NA,NA,NA
"78","100739","2015-08-16","08:25:00+02:00",155,NA,NA,NA,NA,NA,NA
"79","100739","2015-08-16","12:05:00+02:00",155,NA,NA,NA,NA,NA,NA
"80","100739","2015-08-16","16:15:00+02:00",155,NA,NA,NA,NA,NA,NA
"81","100739","2015-08-16","19:45:00+02:00",150,NA,NA,NA,NA,NA,NA
"82","100739","2015-08-16","23:15:00+02:00",200,NA,NA,NA,NA,NA,NA
"83","100739","2015-08-17","05:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"84","1469675","2015-07-22","07:00:00+02:00",160,NA,NA,NA,NA,NA,NA
"85","1469675","2015-07-22","10:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"86","1469675","2015-07-22","12:30:00+02:00",90,NA,NA,NA,NA,NA,NA
"87","1469675","2015-07-22","16:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"88","1469675","2015-07-22","20:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"89","1469675","2015-07-22","23:00:00+02:00",50,NA,NA,NA,NA,NA,NA
"90","1469675","2015-07-23","07:30:00+02:00",160,NA,NA,NA,NA,NA,NA
"91","1469675","2015-07-23","10:30:00+02:00",90,NA,NA,NA,NA,NA,NA
"92","1469675","2015-07-23","13:30:00+02:00",160,NA,NA,NA,NA,NA,NA
"93","1469675","2015-07-23","17:15:00+02:00",110,NA,NA,NA,NA,NA,NA
"94","1469675","2015-07-23","20:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"95","1469675","2015-07-23","23:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"96","1469675","2015-07-24","07:00:00+02:00",110,NA,NA,NA,NA,NA,NA
"97","1469675","2015-07-24","10:00:00+02:00",105,NA,NA,NA,NA,NA,NA
"98","1469675","2015-07-24","14:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"99","1469675","2015-07-24","18:00:00+02:00",100,NA,NA,NA,NA,NA,NA
"100","1469675","2015-07-24","19:30:00+02:00",85,NA,NA,NA,NA,NA,NA
"101","1469675","2015-07-24","22:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"102","1469675","2015-07-25","07:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"103","1469675","2015-07-25","10:45:00+02:00",130,NA,NA,NA,NA,NA,NA
"104","1469675","2015-07-25","14:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"105","1469675","2015-07-25","17:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"106","1469675","2015-07-25","20:00:00+02:00",135,NA,NA,NA,NA,NA,NA
"107","1469675","2015-07-25","23:45:00+02:00",100,NA,NA,NA,NA,NA,NA
"108","1469675","2015-07-26","07:00:00+02:00",135,NA,NA,NA,NA,NA,NA
"109","1469675","2015-07-26","10:45:00+02:00",130,NA,NA,NA,NA,NA,NA
"110","1469675","2015-07-26","14:00:00+02:00",120,NA,NA,NA,NA,NA,NA
"111","1469675","2015-07-26","17:15:00+02:00",100,NA,NA,NA,NA,NA,NA
"112","1469675","2015-07-26","20:00:00+02:00",100,NA,NA,NA,NA,NA,NA
"113","1469675","2015-07-27","01:00:00+02:00",110,NA,NA,NA,NA,NA,NA
"114","1469675","2015-07-27","08:15:00+02:00",130,NA,NA,NA,NA,NA,NA
"115","1469675","2015-07-27","11:30:00+02:00",120,NA,NA,NA,NA,NA,NA
"116","1469675","2015-07-27","14:30:00+02:00",130,NA,NA,NA,NA,NA,NA
"117","1469675","2015-07-27","18:15:00+02:00",130,NA,NA,NA,NA,NA,NA
"118","1469675","2015-07-27","20:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"119","1469675","2015-07-28","00:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"120","1469675","2015-07-28","08:45:00+02:00",120,NA,NA,NA,NA,NA,NA
"121","1469675","2015-07-28","11:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"122","1469675","2015-07-28","15:00:00+02:00",135,NA,NA,NA,NA,NA,NA
"123","1469675","2015-07-28","18:15:00+02:00",90,NA,NA,NA,NA,NA,NA
"124","1469675","2015-07-28","20:15:00+02:00",80,NA,NA,NA,NA,NA,NA
"125","1469675","2015-07-28","23:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"126","1469675","2015-07-29","08:15:00+02:00",100,NA,NA,NA,NA,NA,NA
"127","1469675","2015-07-29","10:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"128","1469675","2015-07-29","12:00:00+02:00",105,NA,NA,NA,NA,NA,NA
"129","1469675","2015-07-29","15:00:00+02:00",80,NA,NA,NA,NA,NA,NA
"130","1469675","2015-07-29","17:00:00+02:00",200,NA,NA,NA,NA,NA,NA
"131","1469675","2015-07-29","19:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"132","1469675","2015-07-29","23:00:00+02:00",45,NA,NA,NA,NA,NA,NA
"133","1469675","2015-07-30","07:15:00+02:00",120,NA,NA,NA,NA,NA,NA
"134","1469675","2015-07-30","10:00:00+02:00",120,NA,NA,NA,NA,NA,NA
"135","1469675","2015-07-30","13:30:00+02:00",130,NA,NA,NA,NA,NA,NA
"136","1469675","2015-07-30","16:00:00+02:00",90,NA,NA,NA,NA,NA,NA
"137","1469675","2015-07-30","19:30:00+02:00",90,NA,NA,NA,NA,NA,NA
"138","1469675","2015-07-30","23:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"139","1469675","2015-07-31","05:00:00+02:00",90,NA,NA,NA,NA,NA,NA
"140","1469675","2015-07-31","09:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"141","1469675","2015-07-31","11:45:00+02:00",130,NA,NA,NA,NA,NA,NA
"142","1469675","2015-07-31","15:30:00+02:00",130,NA,NA,NA,NA,NA,NA
"143","1469675","2015-07-31","18:00:00+02:00",85,NA,NA,NA,NA,NA,NA
"144","1469675","2015-07-31","20:00:00+02:00",135,NA,NA,NA,NA,NA,NA
"145","1469675","2015-07-31","22:30:00+02:00",100,NA,NA,NA,NA,NA,NA
"146","1469675","2015-08-01","08:00:00+02:00",115,NA,NA,NA,NA,NA,NA
"147","1469675","2015-08-01","11:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"148","1469675","2015-08-01","13:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"149","1469675","2015-08-01","18:00:00+02:00",110,NA,NA,NA,NA,NA,NA
"150","1469675","2015-08-01","20:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"151","1469675","2015-08-02","01:00:00+02:00",130,NA,NA,NA,NA,NA,NA
"152","1469675","2015-08-02","07:00:00+02:00",130,NA,NA,NA,NA,NA,NA
"153","1469675","2015-08-02","10:00:00+02:00",105,NA,NA,NA,NA,NA,NA
"154","1469675","2015-08-02","12:00:00+02:00",50,NA,NA,NA,NA,NA,NA
"155","1469675","2015-08-02","15:30:00+02:00",135,NA,NA,NA,NA,NA,NA
"156","1469675","2015-08-02","17:30:00+02:00",65,NA,NA,NA,NA,NA,NA
"157","1469675","2015-08-02","19:45:00+02:00",165,NA,NA,NA,NA,NA,NA
"158","1469675","2015-08-02","23:15:00+02:00",135,NA,NA,NA,NA,NA,NA
"159","1469675","2015-08-03","07:15:00+02:00",130,NA,NA,NA,NA,NA,NA
"160","1469675","2015-08-03","10:15:00+02:00",105,NA,NA,NA,NA,NA,NA
"161","1469675","2015-08-03","13:15:00+02:00",140,NA,NA,NA,NA,NA,NA
"162","1469675","2015-08-03","16:15:00+02:00",130,NA,NA,NA,NA,NA,NA
"163","1469675","2015-08-03","19:15:00+02:00",120,NA,NA,NA,NA,NA,NA
"164","1469675","2015-08-03","23:15:00+02:00",110,NA,NA,NA,NA,NA,NA
"165","1469675","2015-08-04","07:45:00+02:00",125,NA,NA,NA,NA,NA,NA
"166","1469675","2015-08-04","10:45:00+02:00",135,NA,NA,NA,NA,NA,NA
"167","1469675","2015-08-04","13:15:00+02:00",105,NA,NA,NA,NA,NA,NA
"168","1469675","2015-08-04","16:00:00+02:00",120,NA,NA,NA,NA,NA,NA
"169","1469675","2015-08-04","19:00:00+02:00",135,NA,NA,NA,NA,NA,NA
"170","1469675","2015-08-04","22:15:00+02:00",90,NA,NA,NA,NA,NA,NA
"171","1469675","2015-08-05","07:30:00+02:00",90,NA,NA,NA,NA,NA,NA
"172","1469675","2015-08-05","10:30:00+02:00",120,NA,NA,NA,NA,NA,NA
"173","1469675","2015-08-05","13:30:00+02:00",110,NA,NA,NA,NA,NA,NA
"174","1469675","2015-08-05","16:15:00+02:00",145,NA,NA,NA,NA,NA,NA
"175","1469675","2015-08-05","19:00:00+02:00",120,NA,NA,NA,NA,NA,NA
"176","1469675","2015-08-05","22:00:00+02:00",110,NA,NA,NA,NA,NA,NA
"177","1469675","2015-08-06","07:15:00+02:00",75,NA,NA,NA,NA,NA,NA
"178","1469675","2015-08-06","10:00:00+02:00",115,NA,NA,NA,NA,NA,NA
"179","1469675","2015-08-06","13:00:00+02:00",130,NA,NA,NA,NA,NA,NA
"180","1469675","2015-08-06","16:00:00+02:00",150,NA,NA,NA,NA,NA,NA
"181","1469675","2015-08-06","17:30:00+02:00",60,NA,NA,NA,NA,NA,NA
"182","1469675","2015-08-06","19:15:00+02:00",70,NA,NA,NA,NA,NA,NA
"183","1469675","2015-08-06","20:45:00+02:00",115,NA,NA,NA,NA,NA,NA
"184","1469675","2015-08-06","23:15:00+02:00",55,NA,NA,NA,NA,NA,NA
"185","1469675","2015-08-07","07:15:00+02:00",85,NA,NA,NA,NA,NA,NA
