"UserID","Date","Time","SleepingTime","BabyID"
"1469675","2015-07-28","10:30:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-07-28","12:30:00+02:00",8100,"HPT2_NR_30"
"1469675","2015-07-28","16:30:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-07-28","19:15:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-07-28","21:00:00+02:00",39600,"HPT2_NR_30"
"1469675","2015-07-29","09:00:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-07-29","11:15:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-07-29","13:00:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-07-29","15:15:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-07-29","18:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-07-29","20:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-07-29","21:30:00+02:00",34200,"HPT2_NR_30"
"1469675","2015-07-30","09:00:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-07-30","12:00:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-07-30","14:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-07-30","16:45:00+02:00",900,"HPT2_NR_30"
"1469675","2015-07-30","17:30:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-07-30","21:00:00+02:00",42300,"HPT2_NR_30"
"1469675","2015-07-31","10:00:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-07-31","12:45:00+02:00",9000,"HPT2_NR_30"
"1469675","2015-07-31","18:30:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-07-31","21:30:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-07-31","23:00:00+02:00",32400,"HPT2_NR_30"
"1469675","2015-08-01","21:30:00+02:00",34200,"HPT2_NR_30"
"1469675","2015-08-02","20:30:00+02:00",37800,"HPT2_NR_30"
"1469675","2015-08-03","08:30:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-03","11:30:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-03","14:00:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-03","16:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-03","20:30:00+02:00",39600,"HPT2_NR_30"
"1469675","2015-08-04","09:30:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-08-04","11:30:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-04","14:15:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-04","16:45:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-08-04","20:30:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-04","22:45:00+02:00",31500,"HPT2_NR_30"
"1469675","2015-08-05","08:30:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-05","10:45:00+02:00",7200,"HPT2_NR_30"
"1469675","2015-08-05","14:15:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-05","17:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-05","20:15:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-05","22:15:00+02:00",30600,"HPT2_NR_30"
"1469675","2015-08-06","07:30:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-08-06","10:30:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-06","13:15:00+02:00",4500,"HPT2_NR_30"
